대학,학년도,전형구분,전형,모집단위,모집,경쟁률,충원,50%cut,70%cut,canon2026
성균관대,2022,학생부교과,학생부교과전형,인문과학계열,40,10.1,100,97.93,97.76,
성균관대,2022,학생부교과,학생부교과전형,컴퓨터교육,5,9.8,4,98.11,97.88,
성균관대,2022,학생부교과,학생부교과전형,한문교육,5,12.2,10,98.17,97.05,
성균관대,2022,학생부교과,학생부교과전형,한문학,5,8.0,4,96.50,96.35,
성균관대,2022,학생부종합,학생부종합전형(계열모집),글로벌융합학부,50,15.3,130,2.05,2.89,
성균관대,2022,학생부종합,학생부종합전형(계열모집),사회과학계열,55,19.7,159,1.64,2.44,
성균관대,2022,학생부종합,학생부종합전형(계열모집),인문과학계열,40,21.3,121,2.18,2.83,
성균관대,2022,학생부종합,학생부종합전형(고른기회),사회과학계열,10,16.8,17,1.97,2.29,
성균관대,2022,학생부종합,학생부종합전형(고른기회),인문과학계열,10,9.2,9,2.31,2.4,
성균관대,2022,학생부종합,학생부종합전형(농어촌학생),인문과학계열 사회과학계열 경영학,50,5.2,64,1.83,2.05,
성균관대,2022,학생부종합,학생부종합전형(이웃사랑),인문과학계열 사회과학계열 경영학,30,9.0,24,3.77,4.3,
성균관대,2022,학생부종합,학생부종합전형(특성화고),인문과학계열 사회과학계열 경영학 자연과학계열 전자전기공학부 공학계열 소프트웨어학,23,15.4,5,1.61,1.91,
성균관대,2022,학생부종합,학생부종합전형(학과모집),경영학,70,10.7,76,1.88,2.55,
성균관대,2022,학생부종합,학생부종합전형(학과모집),교육학,15,11.2,22,2.49,3.06,
성균관대,2022,학생부종합,학생부종합전형(학과모집),국어국문학,9,13.0,10,2.98,3.5,
성균관대,2022,학생부종합,학생부종합전형(학과모집),글로벌경영학,57,8.5,152,2.95,3.36,
성균관대,2022,학생부종합,학생부종합전형(학과모집),글로벌경제학,50,7.1,88,2.65,3.3,
성균관대,2022,학생부종합,학생부종합전형(학과모집),글로벌리더학,36,13.7,145,1.78,2.45,
성균관대,2022,학생부종합,학생부종합전형(학과모집),글로벌바이오메디컬공학,30,16.0,64,1.65,1.97,
